Name,Team,GP,Min,M-FG,A-FG,Pct-FG,M-3PT,A-3PT,Pct-3PT,M-FT,A-FT,Pct-FT,Off-Rb,Def-Rb,Tot-Rb,Ast,TO,Stl,Blk,PF,PPG
Josh Richardson,MIA,43,19.1,2.3,4.7,48.3,1,2,50,0.7,1.1,65.3,0.3,1.5,1.8,1.3,0.6,0.7,0.5,2.1,6.3
Andrew Nicholson,ORL,48,14.2,2.5,5.4,45.2,0.7,2,34,0.8,1,78.3,0.6,3,3.6,0.4,0.8,0.1,0.4,1.2,6.3
T.J. McConnell,PHI,73,19.8,2.8,5.7,48.4,0.4,1.1,34.2,0.4,0.6,63.4,0.5,2.6,3.2,4.4,1.8,1.2,0.1,1.5,6.3
Aron Baynes,DET,73,14.9,2.4,4.8,51,0,0,0,1.4,1.9,73.8,1.8,3,4.7,0.7,0.8,0.3,0.7,1.9,6.3
P.J. Hairston,MEM,62,20.2,2.2,6.2,35.8,1.1,3.7,29.5,0.8,1,77,0.4,2.2,2.6,0.6,0.6,0.5,0.2,2.2,6.3
Mike Scott,ATL,68,15.3,2.4,5.1,46.3,0.8,2.1,38.4,0.7,0.9,78,0.7,2,2.7,1.1,0.6,0.4,0.3,1.4,6.3
Dwight Powell,DAL,63,15.2,2.3,4.6,49.8,0,0.3,12.5,1.7,2.2,75,1.3,3,4.2,0.7,0.6,0.6,0.4,1.8,6.2
Raul Neto,UTA,73,19.1,2.3,5.4,43.7,0.8,2.1,41.1,0.6,0.8,72.6,0.2,1.3,1.5,2.2,1.4,0.8,0,1.6,6.2
Roy Hibbert,LAL,73,23.3,2.3,5.1,45.5,0,0,0,1.5,1.9,79.6,1.6,3.3,4.9,1.2,0.9,0.4,1.4,3.2,6.2
J.J. Hickson,WAS,29,13.1,2.3,4.5,52.3,0,0,0,1.4,3,46,1,2.7,3.7,0.7,0.8,0.5,0.4,1.5,6.1
Shaun Livingston,GS,69,19.3,2.5,4.8,52.6,0,0.2,16.7,1,1.2,86.4,0.6,1.5,2.1,2.9,0.9,0.8,0.3,1.7,6.1
Tyler Zeller,BOS,54,11.9,2.3,4.9,46.6,0,0,N/A,1.4,1.7,82.6,1.1,2,3.1,0.4,0.8,0.2,0.3,1.7,6
Tim Hardaway Jr.,ATL,44,16.8,2.1,5,41.9,0.9,2.7,32.2,1,1.1,87.5,0.2,1.5,1.7,1,0.5,0.5,0.1,1,6
Spencer Hawes,CHA,50,18.7,2.2,5.5,39.9,0.7,1.9,35.1,0.9,1.1,83.9,0.8,3.5,4.3,2,1,0.4,0.4,2,6
Alan Anderson,WAS,9,14.5,1.9,4.6,41.5,1.2,3.1,39.3,1,1.2,81.8,0.1,2,2.1,1,0.2,0.2,0.1,1.9,6
Vince Carter,MEM,52,15.9,2,5.3,37.2,0.9,2.8,32,1.2,1.4,86.1,0.4,1.9,2.3,0.8,0.6,0.6,0.3,1.6,6
Amar'e Stoudemire,MIA,45,15,2.4,4.3,56.5,0,0,N/A,1,1.4,74.2,1.4,3.1,4.5,0.6,0.9,0.3,0.9,1.7,5.9
Jason Terry,HOU,64,17.6,2.1,5.2,40.6,1.3,3.5,36.1,0.4,0.5,83.9,0.2,0.9,1.1,1.4,0.7,0.7,0.1,1.3,5.9
Maurice Harkless,POR,71,17.8,2.3,4.8,48.1,0.5,1.7,26.4,0.8,1.3,59.6,1.1,2.2,3.3,0.8,0.8,0.5,0.4,1.5,5.9
Josh Smith,HOU,50,15.9,2.3,6.5,35.3,0.7,2.5,26.2,0.7,1.2,55.7,1,2.6,3.6,1.6,1.4,0.6,0.9,2.1,5.9
Trevor Booker,UTA,71,20.8,2.4,5,48.4,0.1,0.5,27,0.9,1.3,68.4,2.2,3.7,5.9,1,1.1,0.8,0.5,2.2,5.9
Jonathon Simmons,SA,51,14.3,2.1,4.3,49.8,0.4,0.8,42.9,1.2,1.5,75.6,0.3,1.4,1.6,1.1,0.9,0.4,0.1,1.9,5.8
Channing Frye,CLE,61,16.8,2.1,4.6,44.9,1.3,3.2,40.2,0.4,0.5,85.7,0.5,2.8,3.3,1,0.6,0.4,0.4,1.8,5.8
Paul Pierce,LAC,64,17.7,2,5.7,35.4,1.1,3.5,30.4,0.8,0.9,80,0.2,2.6,2.8,1.1,0.8,0.5,0.3,1.9,5.8
Randy Foye,OKC,73,20.2,2.1,5.9,35,0.9,3.1,29.7,0.7,0.8,82.3,0.3,1.7,2,2,1,0.5,0.3,1.6,5.7
Mario Hezonja,ORL,70,16.8,2.1,5.1,42.1,0.8,2.3,33.7,0.6,0.6,91.1,0.4,1.8,2.1,1.2,1.2,0.4,0.2,1.5,5.7
Ty Lawson,IND,58,21.4,2.1,5.3,39.2,0.6,1.7,34.3,1,1.4,70,0.3,1.3,1.7,3.3,1.5,0.8,0.1,1.3,5.7
Richard Jefferson,CLE,67,17.7,2,4.2,46.8,0.9,2.3,39.5,0.7,1.1,64.9,0.2,1.5,1.7,0.8,0.6,0.4,0.2,1.8,5.6
Larry Nance Jr.,LAL,56,20,2.6,4.8,53,0,0.2,11.1,0.5,0.7,65.9,1.6,3.4,5,0.6,0.7,0.8,0.3,2,5.6
Bismack Biyombo,TOR,73,22.7,1.9,3.5,54.3,0,0,0,1.8,2.8,63.5,2.3,6,8.2,0.4,0.9,0.2,1.7,2.8,5.6
Bryce Dejean-Jones,NO,14,19.9,2,4.9,40.6,0.9,2.3,37.5,0.8,1.5,52.4,0.6,2.9,3.4,1.1,0.8,0.7,0.1,1.2,5.6
Richaun Holmes,PHI,51,13.8,2.2,4.4,51.4,0.2,0.9,18.2,1,1.5,68.9,1.2,1.4,2.6,0.6,0.6,0.4,0.8,1.8,5.6
Tiago Splitter,ATL,36,16.1,2.3,4.3,52.3,0,0.1,0,1.1,1.3,81.3,1.3,2.1,3.3,0.8,0.7,0.6,0.3,2,5.6
Iman Shumpert,CLE,48,24,2.1,5.5,37.6,0.8,2.7,30.5,0.6,0.8,76.3,0.6,3.1,3.7,1.7,1,1,0.4,2.2,5.6
Andrew Bogut,GS,63,20.7,2.5,4,62,0,0,100,0.4,0.8,48,1.8,5.3,7,2.3,1.1,0.5,1.7,3.1,5.4
Trey Lyles,UTA,72,16.3,2.1,4.9,43.9,0.5,1.3,39.2,0.6,0.9,68.7,0.8,2.8,3.6,0.7,0.8,0.3,0.2,1.4,5.4
Dante Cunningham,NO,71,23.5,2,4.6,44,0.6,2.1,30.9,0.6,0.8,70.7,0.7,2.3,3,0.8,0.4,0.5,0.4,2.1,5.3
Anthony Morrow,OKC,60,13.5,1.9,4.7,40.8,1.1,2.9,38.7,0.3,0.5,74.1,0.2,0.8,0.9,0.3,0.2,0.4,0.1,1,5.3
Rondae Hollis-Jefferson,BKN,23,21.2,2.1,4.2,49.5,0,0.3,16.7,1.1,1.6,69.4,1.5,4.3,5.7,1.5,1,1.4,0.3,2.2,5.3
Anthony Tolliver,DET,64,19,1.8,4.7,38.3,1.4,3.8,36.1,0.4,0.7,61.9,0.5,2.8,3.3,0.8,0.4,0.4,0.2,1.3,5.3
Lavoy Allen,IND,70,20.5,2.3,4.6,50.8,0,0,N/A,0.5,0.9,62.3,2,3.4,5.4,1,0.9,0.3,0.6,1.9,5.2
Luke Babbitt,NO,39,15.4,1.9,4.6,41.9,0.8,2.1,38.6,0.5,0.7,75,0.4,2.2,2.6,0.7,0.3,0.2,0.1,1.7,5.2
Charlie Villanueva,DAL,57,11,2.1,5.4,38.2,0.7,2.8,25.9,0.4,0.4,91.7,0.4,2.1,2.5,0.4,0.5,0.3,0.3,1.2,5.2
JaVale McGee,DAL,33,11.1,2.3,4,57.9,0,0,0,0.5,1.1,50,1.6,2.4,4,0.1,0.6,0.2,0.8,1.5,5.2
Ronnie Price,PHO,54,18.4,1.8,4.6,39.8,1.1,3,35.6,0.5,0.6,77.1,0.3,1.1,1.5,2.1,0.9,1.1,0.2,2.5,5.2
Jarell Martin,MEM,19,13.8,1.9,4.7,41.6,0,0.1,0,1.3,1.8,70.6,1.6,1.8,3.4,0.6,0.7,0.3,0.3,1.9,5.2
Boban Marjanovic,SA,49,8.6,1.8,3,58.4,0,0,N/A,1.5,2,75,1.3,2.1,3.4,0.4,0.5,0.2,0.4,0.9,5.1
Troy Daniels,CHA,38,10.1,1.9,4.1,46.1,1.2,2.6,47.4,0.1,0.2,55.6,0.2,1.1,1.3,0.4,0.5,0.2,0.1,0.8,5.1
Tony Snell,CHI,62,19.9,1.9,5.2,37.2,0.9,2.4,35.6,0.4,0.5,89.3,0.3,2.7,3,1,0.8,0.2,0.3,1.6,5.1
Seth Curry,SAC,36,12.4,1.7,3.7,45.5,0.7,1.7,41.9,0.9,1.1,81.6,0.2,0.9,1.1,0.8,0.6,0.4,0.1,0.7,5
Markel Brown,BKN,53,14.2,1.7,4.3,38.7,0.6,1.8,33.3,1.1,1.4,79.2,0.3,1.3,1.6,1.2,0.7,0.5,0.1,1.4,5
James Johnson,TOR,55,16,2,4.1,48.7,0.4,1.1,32.3,0.6,1.1,54.8,0.5,1.7,2.2,1.2,0.9,0.5,0.6,1.5,5
Jakarr Sampson,DEN,66,15.4,1.8,4.2,43,0.2,0.8,20.8,1.2,1.8,65.5,0.6,2,2.6,0.6,1,0.3,0.4,1.9,5
Cole Aldrich,LAC,51,12.2,2,3.6,56,0,0,N/A,0.9,1.4,68.6,1.4,2.9,4.2,0.8,1,0.6,1.1,2.3,5
Alexis Ajinca,NO,52,13,2.1,4.5,45.9,0,0,0,0.8,1,82.4,1.1,2.9,4,0.5,0.6,0.3,0.5,2.2,4.9
Jerian Grant,NY,69,15.3,1.7,4.6,37.4,0.2,1.1,19.2,1.2,1.4,80.8,0.3,1.4,1.7,2.2,1.1,0.6,0.1,1.2,4.8
Cameron Payne,OKC,51,11.6,1.9,4.5,42.5,0.6,1.8,35.5,0.3,0.4,85,0.2,1.4,1.5,1.8,0.7,0.6,0.1,1.4,4.8
Andre Roberson,OKC,63,22.2,1.9,4,48.4,0.4,1.5,29.5,0.5,0.8,66,1.1,2.3,3.4,0.7,0.5,0.8,0.6,1.9,4.8
Briante Weber,MEM,6,27.7,2.2,6.3,34.2,0,0.8,0,0.5,0.7,75,1.3,2.7,4,3.3,1.5,1.5,0.5,1.8,4.8
Beno Udrih,MIA,44,16.1,2,4.5,43.4,0.3,1,34.1,0.4,0.5,90,0.2,1.5,1.6,2.6,1.2,0.3,0,1.2,4.7
Quincy Acy,SAC,51,14.2,1.8,3.2,58.4,0.3,0.6,40.6,0.8,1,75,1,1.9,3,0.4,0.4,0.5,0.4,1.8,4.7
Miles Plumlee,MIL,53,13.3,2.1,3.3,62.7,0,0,N/A,0.5,0.8,57.8,1.5,2,3.5,0.2,0.7,0.3,0.8,1.2,4.7
Willie Reed,BKN,36,10.8,1.9,3.3,57.5,0,0,N/A,0.8,1.4,55.8,1.2,1.8,2.9,0.3,0.4,0.2,0.8,1.2,4.6
Henry Sims,BKN,5,13.3,2,4.2,47.6,0,0,N/A,0.6,0.8,75,1.4,2.6,4,0.4,0.8,0.4,0.8,2.2,4.6
Ryan Kelly,LAL,28,12.8,1.5,4.2,36.4,0.2,1.2,14.7,1.2,1.8,69.4,0.6,3,3.6,0.6,0.5,0.3,0.3,1.2,4.5
Alonzo Gee,NO,73,22.4,1.8,3.5,51.8,0.2,0.8,28.3,0.6,0.9,66.7,0.8,2.5,3.4,1,0.8,0.9,0.2,2.3,4.5
Brandon Rush,GS,64,15.3,1.6,3.8,43,0.9,2.3,40.7,0.3,0.4,64.3,0.3,2.3,2.6,0.9,0.4,0.3,0.3,0.8,4.5
Nikola Pekovic,MIN,12,13,1.6,4.2,38,0,0,N/A,1.3,1.7,80,0.6,1.2,1.8,0.9,0.8,0.1,0,1.8,4.5
Kyle O'Quinn,NY,58,11.2,1.9,3.9,47.8,0.1,0.3,25,0.7,0.9,75.9,1.1,2.5,3.6,1.1,0.9,0.3,0.7,1.6,4.5
